Food report 23 Apr 2018
Barn,Date of open barn,Age(Day),Move in,Move out,Current pig,Cumulative Food(Kg),FPP,Target FPP
4,01 Mar 2018,123,0,0,0,999,0,100.7
5,01 Apr 2018,92,0,0,0,0,0,41.8
6,01 Apr 2018,92,0,0,0,0,0,41.8
13,20 Apr 2018,73,0,0,0,0,0,5.7
14,20 Apr 2018,73,0,0,0,0,0,5.7
15,20 Apr 2018,73,0,0,0,0,0,5.7
16,20 Apr 2018,73,0,0,0,0,0,5.7
17,20 Apr 2018,73,0,0,0,0,0,5.7
18,20 Apr 2018,73,0,0,0,0,0,5.7
19,20 Apr 2018,73,0,0,0,0,0,5.7
20,08 Apr 2018,85,0,0,0,0,0,28.5
21,08 Apr 2018,85,0,0,0,0,0,28.5
22,09 Apr 2018,84,0,0,0,0,0,26.6
23,10 Apr 2018,83,0,0,0,0,0,24.7
26,01 Apr 2018,92,0,0,0,0,0,41.8
27,18 Apr 2018,80,0,0,0,0,0,19
28,19 Apr 2018,79,0,0,0,0,0,17.1
29,19 Apr 2018,79,0,0,0,0,0,17.1
30,19 Apr 2018,79,0,0,0,0,0,17.1
31,19 Apr 2018,79,0,0,0,0,0,17.1
32,19 Apr 2018,79,0,0,0,0,0,17.1
33,19 Apr 2018,74,0,0,0,0,0,7.6
34,19 Apr 2018,26,0,0,0,0,0,-83.6
35,19 Apr 2018,26,0,0,0,0,0,-83.6
36,19 Apr 2018,6,0,0,0,0,0,-121.6
37,19 Apr 2018,24,0,0,0,0,0,-87.4
38,19 Apr 2018,6,0,0,0,0,0,-121.6
39,19 Apr 2018,9,0,0,0,0,0,-115.9
40,19 Apr 2018,15,0,0,0,0,0,-104.5
41,19 Apr 2018,27,0,0,0,0,0,-81.7
42,19 Apr 2018,15,0,0,0,0,0,-104.5
43,19 Apr 2018,15,0,0,0,0,0,-104.5
44,19 Apr 2018,15,0,0,0,0,0,-104.5
45,19 Apr 2018,15,0,0,0,0,0,-104.5
46,19 Apr 2018,217,0,0,0,0,0,279.3
47,19 Apr 2018,15,0,0,0,0,0,-104.5
48,19 Apr 2018,1127,0,0,0,0,0,2008.3
49,19 Apr 2018,15,0,0,0,0,0,-104.5
50,19 Apr 2018,15,0,0,0,0,0,-104.5
51,19 Apr 2018,16,0,0,0,0,0,-102.6
52,19 Apr 2018,74,0,0,0,0,0,7.6
53,19 Apr 2018,24,0,0,0,0,0,-87.4
54,19 Apr 2018,24,0,0,0,0,0,-87.4
55,19 Apr 2018,7,0,0,0,0,0,-119.7
56,19 Apr 2018,5,0,0,0,0,0,-123.5
57,19 Apr 2018,6,0,0,0,0,0,-121.6
58,19 Apr 2018,26,0,0,0,0,0,-83.6
59,19 Apr 2018,26,0,0,0,0,0,-83.6
60,19 Apr 2018,26,0,0,0,0,0,-83.6
61,19 Apr 2018,26,0,0,0,0,0,-83.6
62,19 Apr 2018,26,0,0,0,0,0,-83.6
63,19 Apr 2018,26,0,0,0,0,0,-83.6
64,19 Apr 2018,26,0,0,0,0,0,-83.6
65,19 Apr 2018,59,0,0,0,0,0,-20.9
66,19 Apr 2018,26,0,0,0,0,0,-83.6
67,19 Apr 2018,26,0,0,0,0,0,-83.6
68,19 Apr 2018,5,0,0,0,0,0,-123.5
69,19 Apr 2018,5,0,0,0,0,0,-123.5
70,19 Apr 2018,37,0,0,0,0,0,-62.7
71,19 Apr 2018,26,0,0,0,0,0,-83.6
72,19 Apr 2018,6,0,0,0,0,0,-121.6
73,19 Apr 2018,5,0,0,0,0,0,-123.5
74,19 Apr 2018,127,0,0,0,0,0,108.3
75,19 Apr 2018,26,0,0,0,0,0,-83.6
76,19 Apr 2018,127,0,0,0,0,0,108.3
77,19 Apr 2018,5,0,0,0,0,0,-123.5
78,19 Apr 2018,6,0,0,0,0,0,-121.6
79,19 Apr 2018,26,0,0,0,0,0,-83.6
80,19 Apr 2018,26,0,0,0,200,0,-83.6
81,19 Apr 2018,26,0,0,0,100,0,-83.6
82,19 Apr 2018,15,0,0,0,100,0,-104.5
83,19 Apr 2018,1127,0,0,0,100,0,2008.3
84,19 Apr 2018,15,0,0,0,0,0,-104.5
85,19 Apr 2018,226,0,0,0,0,0,296.4
86,20 Apr 2018,25,0,0,0,0,0,-85.5
87,20 Apr 2018,25,0,0,0,0,0,-85.5
88,20 Apr 2018,73,0,0,0,0,0,5.7
89,21 Apr 2018,72,0,0,0,0,0,3.8
90,21 Apr 2018,26,0,0,0,0,0,-83.6
91,21 Apr 2018,79,0,0,0,0,0,17.1
92,21 Apr 2018,79,0,0,0,0,0,17.1
93,21 Apr 2018,81,0,0,0,0,0,20.9
94,21 Apr 2018,72,0,0,0,400,0,3.8
95,21 Apr 2018,72,0,0,0,0,0,3.8
96,22 Apr 2018,3,0,0,0,0,0,-127.3
97,22 Apr 2018,85,0,0,0,1208,0,28.5
98,22 Apr 2018,78,0,0,0,1500,0,15.2
99,22 Apr 2018,79,0,0,0,1212,0,17.1
100,22 Apr 2018,701,0,0,0,12541,0,1198.9
101,22 Apr 2018,72,0,0,0,0,0,3.8
