Food report 19 Apr 2018
Barn,Date of open barn,Age(Day),Move in,Move out,Current pig,Cumulative Food(Kg),FPP,Target FPP
4,01 Mar 2018,119,42,20,22,100,4.55,93.1
5,01 Apr 2018,88,0,0,0,100,0,34.2
6,01 Apr 2018,88,0,0,0,0,0,34.2
13,20 Apr 2018,69,0,0,0,0,0,-1.9
14,20 Apr 2018,69,0,0,0,0,0,-1.9
15,20 Apr 2018,69,0,0,0,382,0,-1.9
16,20 Apr 2018,69,50,0,50,0,0,-1.9
17,20 Apr 2018,69,0,0,0,0,0,-1.9
18,20 Apr 2018,69,0,0,0,0,0,-1.9
19,20 Apr 2018,69,0,0,0,0,0,-1.9
20,08 Apr 2018,81,0,0,0,0,0,20.9
21,08 Apr 2018,81,70,0,70,0,0,20.9
22,09 Apr 2018,80,0,0,0,0,0,19
23,10 Apr 2018,79,0,0,0,0,0,17.1
26,01 Apr 2018,88,0,0,0,0,0,34.2
27,18 Apr 2018,76,0,0,0,0,0,11.4
